Reporting Year,Reporting Quarter,County,Reporting Organization,Reporting Organization ID,Total Capacity (Certified),Beginning Census,End Census,Male Census,Female Census,# of Residents Age 66-80,# of Residents  Age 81+,Total Admissions,Total Discharges
2019,4,Schenectady,"Kingsway Manor, LLC",650-F-103,140,111,110,27,83,11,99,17,16
2019,4,Monroe,Legacy at Maiden Park,370-F-254,98,55,50,11,39,8,42,10,20
2019,4,Nassau,Long Beach Assisted Living,400-F-301,200,198,200,129,71,103,27,15,13
2019,4,Tompkins,"Longview, an Ithacare Community",730-E-002,96,85,81,24,57,29,40,,10
2019,4,Onondaga,Loretto EHP #1 Bernardine Apartments,520-S-054,148,129,118,56,62,80,26,7,11
2019,4,Onondaga,Loretto Village Apts. Enriched Housing Site #5,520-S-120,79,78,73,13,60,15,49,7,12
2019,4,Albany,Loudonville Assisted Living Residence,000-F-304,105,84,78,20,58,26,52,14,9
2019,4,Queens,"Madison York Assisted Living Community, LLC",590-F-320,226,212,215,123,92,117,67,18,15
2019,4,Queens,Madison York Home for Adults,590-F-321,202,190,192,122,70,102,36,10,8
2019,4,Richmond,"Mariners Residence, Inc.",610-F-066,270,208,207,119,88,122,25,7,10
2019,4,Erie,Mary Agnes Manor ALP,240-F-868,230,199,191,103,88,99,58,15,14
2019,4,Oneida,Masonic Home,510-E-033,96,74,69,29,40,17,51,7,12
2019,4,Westchester,Meadowview at the Wartburg,800-S-125,103,101,100,9,91,15,83,8,9
2019,4,Kings,Mermaid Manor Home for Adults,331-F-276,200,190,192,127,65,92,21,8,7
2019,4,Herkimer,Mohawk Homestead,320-E-005,41,34,37,10,27,10,21,,11
2019,4,Niagara,Mount View Assisted Living,500-F-105,150,140,134,37,97,46,71,10,17
2019,4,Richmond,New Broadview Home For Adults,610-F-067,200,190,190,103,87,101,28,14,14
2019,4,Cayuga,North Brook Heights Home for Adults,050-F-022,178,109,108,44,64,42,44,10,11
2019,4,Kings,Oceanview Manor Home for Adults,331-F-270,176,166,168,123,45,81,11,11,9
2019,4,Erie,Orchard Heights,240-F-884,200,140,133,39,94,26,106,25,31
2019,4,Onondaga,Park Terrace at Radisson,520-F-169,65,52,54,11,43,9,45,8,8
2019,4,Albany,Peregrine Senior Living at Colonie,000-F-312,68,68,63,20,43,12,49,7,16
2019,4,Onondaga,Peregrine Senior Living at Onondaga Hill,520-F-171,68,63,61,12,49,10,51,9,10
2019,4,Erie,Peregrineï¿½s Landing Senior Community,240-S-109,112,93,94,30,64,27,62,20,16
2019,4,Erie,Peregrine's Landing at Orchard Park,240-F-827,52,47,46,12,34,14,32,10,14
2019,4,Fulton,Pineview Commons H.F.A.,280-F-034,94,75,73,20,53,27,42,10,10
2019,4,Oneida,Presbyterian Residential Community,510-E-065,96,88,87,16,71,35,49,15,15
2019,4,Rockland,Promenade at Blue Hill,620-F-085,61,37,37,10,27,11,25,,7
2019,4,Rockland,Promenade at Chestnut Ridge,620-F-081,198,87,87,19,68,11,73,10,11
2019,4,Orange,Promenade at Middletown,540-F-032,163,144,144,33,111,49,91,13,15
2019,4,Ontario,Quail Summit,530-S-001,55,38,36,,30,7,29,9,9
2019,4,Queens,Queens Adult Care Center,590-F-309,352,336,331,232,99,164,29,16,21
2019,4,Monroe,Rainier Grove at Cherry Ridge,370-F-229,87,76,73,15,58,8,65,8,8
2019,4,Monroe,Rochester Presbyterian Home,370-E-022,102,81,79,15,64,23,53,7,9
2019,4,Monroe,Sage Harbor Baywinde,370-F-236,88,64,62,10,52,7,55,13,14
2019,4,Monroe,Seabury Woods,370-S-841,85,74,77,19,58,9,67,12,9
2019,4,Onondaga,Sedgwick Heights,520-E-091,154,147,141,49,92,55,8,13,18
2019,4,Monroe,Shire Senior Living Assisted Living Program,370-F-240,200,142,135,82,53,60,21,9,16
2019,4,Kings,Signature Senior Living,331-F-022,199,128,126,67,59,57,62,16,18
2019,4,Nassau,Somerset Gardens,400-S-318,160,142,134,41,93,17,116,12,19
2019,4,Kings,Sunrise at Mill Basin,331-S-011,142,115,107,31,76,22,84,10,15
2019,4,Kings,Sunrise at Sheepshead Bay,331-S-012,189,125,121,35,86,27,91,17,16
2019,4,Westchester,Sunrise of Crestwood,800-F-994,116,93,84,29,55,13,70,,13
2019,4,Suffolk,Sunrise of Dix Hills,700-F-923,114,81,81,19,62,12,69,15,15
2019,4,Nassau,Sunrise of East Meadow,400-F-322,107,89,100,30,70,17,82,16,9
2019,4,Suffolk,Sunrise of East Setauket,700-F-926,109,72,67,15,52,11,55,9,16
2019,4,Westchester,Sunrise of Fleetwood,800-F-995,136,94,93,33,60,21,71,13,14
2019,4,Nassau,Sunrise of Glen Cove,400-F-327,111,94,86,25,61,9,76,10,16
2019,4,Rockland,Sunrise of New City,620-F-089,120,79,74,16,58,8,66,,7
2019,4,Nassau,Sunrise of Plainview,400-F-323,65,54,59,17,42,7,52,14,9
2019,4,Suffolk,Sunrise of Smithtown,700-F-927,104,80,80,23,57,9,71,11,10
2019,4,Richmond,Sunrise of Staten Island,610-S-003,121,96,100,28,72,18,80,19,10
2019,4,Suffolk,Sunrise of West Babylon,700-F-924,110,103,95,21,74,9,83,12,20
2019,4,Queens,"Surfside Manor Home for Adults, LLC",590-F-314,200,196,194,120,74,79,11,8,10
2019,4,Erie,Symphony Manor at Lancaster,240-F-902,117,83,91,41,50,44,26,16,7
2019,4,Rockland,Tappan Zee Manor,620-F-087,150,88,89,36,53,11,76,11,10
2019,4,Erie,Tennyson Court,240-F-874,93,82,78,21,57,17,61,15,17
2019,4,Westchester,The Ambassador at Scarsdale,800-S-153,138,125,121,31,90,17,104,7,11
2019,4,Suffolk,The Arbors at Bohemia,700-F-913,200,130,119,35,84,21,96,9,22
2019,4,Suffolk,The Arbors at Hauppauge,700-F-916,200,121,119,41,78,15,103,14,16
2019,4,Suffolk,The Arbors at Islandia East,700-F-914,200,116,117,29,88,17,100,20,19
2019,4,Suffolk,The Arbors at Islandia West,700-F-915,200,91,89,32,57,17,71,10,12
2019,4,Nassau,The Arbors at Westbury,400-F-307,200,116,116,39,77,22,91,12,12
2019,4,Kings,The Belvedere,331-F-288,200,91,96,41,55,27,64,15,10
2019,4,Richmond,The Brielle at Seaview,610-E-012,188,110,98,16,82,47,47,,18
2019,4,Nassau,The Bristal at East Meadow,400-S-299,151,116,117,33,84,20,97,12,11
2019,4,Suffolk,The Bristal at East Northport,700-S-303,166,138,130,38,92,10,120,,13
2019,4,Nassau,The Bristal at Garden City,400-S-330,170,89,93,26,67,21,71,17,12
2019,4,Suffolk,The Bristal at Holtsville,700-S-309,166,131,137,29,108,23,114,17,11
2019,4,Suffolk,The Bristal at Lake Grove,700-S-311,155,127,124,31,93,21,103,8,11
2019,4,Nassau,The Bristal at Lake Success,400-F-337,110,78,83,20,63,14,69,13,8
2019,4,Nassau,The Bristal at Lynbrook,400-F-335,200,141,135,31,104,25,109,14,20
2019,4,Nassau,The Bristal at Massapequa,400-F-315,84,71,66,15,51,13,52,8,13
2019,4,Nassau,The Bristal at Massapequa,400-S-314,86,78,76,20,56,9,67,,7
2019,4,Nassau,The Bristal at North Hills,400-S-309,140,109,108,24,84,11,97,9,7
2019,4,Nassau,The Bristal at North Woodmere,400-S-304,155,120,121,26,95,12,108,16,15
2019,4,Suffolk,The Bristal at Sayville,700-F-302,155,129,132,33,99,27,105,12,9
2019,4,Suffolk,The Bristal at West Babylon,700-S-313,169,132,137,44,93,20,116,13,8
2019,4,Nassau,The Bristal at Westbury,400-S-300,180,144,135,29,106,21,112,12,20
2019,4,Westchester,The Bristal at White Plains,800-S-145,190,146,131,30,101,13,116,9,24
2019,4,Wyoming,The Cloisters,900-F-005,48,38,33,8,25,11,22,,10
2019,4,Erie,The Courtyards LLC,240-F-872,133,125,119,48,71,66,48,9,11
2019,4,Greene,The Eliot at Catskill,300-F-033,98,93,85,35,50,23,28,,10
2019,4,Westchester,The Fountains at RiverVue,800-F-981,141,101,104,22,82,19,84,14,11
2019,4,Oswego,The Gardens by Morningstar,560-F-042,106,97,103,46,57,31,41,15,11
2019,4,Nassau,The Glen at Maple Pointe,400-S-316,83,82,56,16,40,8,48,,7
2019,4,Broome,The Hearth at Castle Gardens,030-S-044,58,35,36,14,22,9,26,11,11
2019,4,Onondaga,The Hearth at Greenpoint Senior Living,520-S-129,139,120,122,38,84,29,90,16,14
2019,4,Westchester,The Kensington,800-F-988,130,113,114,37,77,29,85,17,16
2019,4,Suffolk,The Lake Shore Assisted Living Residence,700-F-893,200,107,104,39,65,38,59,13,16
2019,4,Warren,The Landing at Queensbury,750-S-003,88,54,55,17,38,17,37,11,12
2019,4,Monroe,The Landing of Brighton,370-S-197,121,84,82,31,51,14,67,9,11
2019,4,Dutchess,The Landing of Poughkeepsie,230-S-005,121,86,87,16,71,12,74,12,14
2019,4,Westchester,The Osborn,800-S-141,103,92,88,24,64,8,80,,9
2019,4,Rensselaer,The Pines at Heartwood,600-F-250,86,79,75,31,44,39,21,,7
2019,4,Putnam,The Plaza at Clover Lake,580-F-001,175,146,155,36,119,45,102,17,9
2019,4,Montgomery,The Sentinel of Amsterdam,380-F-047,150,133,136,57,79,64,40,11,8
2019,4,Wayne,The Terrace at Newark,770-F-037,71,56,60,10,50,14,44,14,10
2019,4,Monroe,The Village at Mill Landing,370-S-859,150,84,93,25,68,10,82,18,8
2019,4,Bronx,The W Assisted Living at Riverdale,020-F-133,256,245,242,165,77,107,8,14,18
2019,4,Orange,The W Senior Living at Goshen,540-F-038,120,38,31,12,19,12,15,,7
2019,4,Kings,The Waterford on the Bay,331-F-272,200,174,176,70,106,55,117,16,14
2019,4,Herkimer,"Valley Residential Services, Inc",320-S-001,76,51,52,9,43,8,42,10,8
2019,4,Ulster,Valley Vista Adult Home and Assisted Living Program,740-F-076,89,75,75,25,50,32,29,8,7
2019,4,Suffolk,Village Walk A Carlisle Assisted Living Community,700-F-941,146,105,108,43,65,29,77,19,19
2019,4,New York,Vista on 5th,420-S-395,131,125,124,52,72,46,78,8,9
2019,4,Cortland,Walden Place,210-F-030,86,74,71,23,48,10,61,13,15
2019,4,Westchester,Westchester Center for Independent and Assisted Living,800-F-990,195,194,193,87,106,80,72,11,12
2019,4,Monroe,Westwood Commons Adult Home,370-E-196,120,55,62,13,49,14,47,14,8
2019,4,Niagara,Wheatfield Commons,500-E-014,114,61,63,13,50,39,24,12,11
2019,4,Suffolk,Whisper Woods of Smithtown,700-F-957,136,118,123,50,73,25,97,15,8
2019,4,Columbia,Whittier Place,200-E-005,80,75,74,18,56,30,39,7,7
2019,4,Westchester,Willow Towers EHP,800-S-131,150,138,135,42,93,22,111,7,10
2019,4,Monroe,Wolk Manor Enriched Living Center,370-S-836,85,81,77,23,54,34,43,,9
2019,4,Chemung,Woodbrook,070-E-011,80,66,70,18,52,10,60,11,7
2019,4,Monroe,Woodcrest Commons,370-E-198,120,90,95,29,66,39,46,11,7
2019,4,Suffolk,Woodhaven Home for Adults,700-F-905,181,164,167,72,95,84,32,16,15
2019,3,New York,305 West End Assisted Living,420-S-393,102,47,53,22,31,10,41,13,7
2019,3,Erie,"Absolut at Orchard Brooke, LLC",240-F-878,80,78,74,21,53,31,37,,7
2019,3,Kings,Amber Court of Brooklyn,331-F-284,224,210,211,137,74,120,86,14,13
2019,3,Bronx,Amber Court of Pelham Gardens,020-F-817,200,195,197,102,95,116,79,13,11
2019,3,Suffolk,Amber Court of Smithtown,700-F-945,186,169,175,34,141,41,134,22,16
2019,3,Nassau,Amber Court of Westbury,400-F-325,225,192,197,35,162,39,157,21,16
2019,3,Albany,Atria Crossgate,000-S-009,83,68,73,26,47,15,55,15,10
2019,3,Nassau,Atria Cutter Mill,400-S-328,130,102,97,23,74,11,85,,11
2019,3,Albany,Atria Delmar Place,000-S-008,106,78,80,25,55,16,63,11,10
2019,3,Suffolk,Atria East Northport,700-F-929,200,137,143,36,107,26,111,16,10
2019,3,Monroe,Atria Greece,370-F-210,79,46,45,16,29,11,32,,7
2019,3,Albany,Atria Guilderland,000-F-308,120,71,63,18,45,13,46,16,17
2019,3,Suffolk,Atria Huntington,700-F-931,198,198,105,28,77,15,83,16,13
2019,3,Westchester,Atria on the Hudson,800-S-147,185,126,128,40,88,25,103,24,23
2019,3,Nassau,Atria Park of Great Neck,400-S-326,162,117,132,43,89,8,122,31,17
2019,3,Monroe,Atria Penfield,370-F-212,120,89,93,36,57,21,69,25,22
2019,3,Bronx,Atria Riverdale,020-S-001,195,185,177,53,124,33,142,17,25
2019,3,Albany,Atria Shaker,000-S-011,146,83,91,27,64,20,67,21,13
2019,3,Suffolk,Atria South Setauket,700-F-933,200,96,99,23,76,14,82,21,16
2019,3,Nassau,Atria Tanglewood,400-F-306,160,113,120,35,85,11,109,21,18
2019,3,New York,Atria West 86,420-S-389,189,179,186,66,120,36,147,27,20
2019,3,Saratoga,Beacon Pointe Memory Care Community,640-F-042,52,48,50,14,36,18,31,8,8
2019,3,Chemung,Bethany Village,070-E-002,144,116,112,20,92,21,87,12,16
2019,3,Suffolk,Birchwood Suites,700-F-943,95,62,69,27,42,15,48,17,10
2019,3,Queens,Boulevard ALP,590-S-317,239,224,224,80,144,54,170,13,13
2019,3,Suffolk,Braemar Living at Medford,700-F-921,200,200,198,35,163,69,102,18,19
2019,3,Orange,Braemar Living at Wallkill,540-F-036,200,172,175,58,117,45,118,21,19
2019,3,Queens,Brandywine Assisted Living at The Savoy,590-S-305,160,135,135,39,96,29,104,11,15
2019,3,Monroe,Brentland Woods,370-S-838,60,49,44,17,27,7,37,,7
2019,3,Niagara,"Briarwood Manor, Inc.",500-F-092,160,108,107,25,82,31,72,12,9
2019,3,Erie,"Bristol Village, Inc.",240-S-107,110,88,84,25,59,21,61,9,13
2019,3,Erie,Brompton Heights,240-F-133,200,120,111,23,88,26,81,11,20
2019,3,Bronx,Bronxwood,020-E-004,320,283,285,190,95,181,69,18,16
2019,3,Oneida,Brookdale Clinton,510-F-057,40,39,37,10,27,8,29,,8
2019,3,Onondaga,Brookdale Fayetteville,520-F-145,52,51,41,9,32,11,29,8,18
2019,3,Erie,Brookdale Kenmore,240-S-113,120,105,104,38,66,18,84,15,11
2019,3,Onondaga,Brookdale Manlius,520-S-137,86,72,70,30,40,12,58,9,10
2019,3,Niagara,Brookdale Niagara Assisted Living,500-S-002,53,40,41,16,25,8,33,9,10
2019,3,Schenectady,Brookdale Niskayuna,650-S-071,110,103,106,44,62,29,75,11,14
2019,3,Steuben,Brookdale Painted Post,690-F-044,110,73,71,22,49,16,55,10,12
2019,3,Erie,Brookdale Williamsville,240-F-851,52,48,51,16,35,10,41,11,8
2019,3,Kings,Brooklyn Adult Care Center,331-F-278,210,197,196,148,48,100,12,15,16
2019,3,Kings,Brooklyn Boulevard ALP,331-S-014,184,182,179,94,85,93,54,7,10
2019,3,Onondaga,Buckley Landing Enriched Housing Site #6,520-S-121,90,84,80,14,66,15,65,7,11
2019,3,Onondaga,Camillus Ridge Terrace,520-F-157,56,52,48,7,41,17,19,,7
2019,3,Queens,Castle Senior Living At Forest Hills,590-S-307,177,166,164,62,102,74,81,18,19
2019,3,Queens,"Central Assisted Living, LLC",590-F-322,186,185,180,107,73,97,20,9,14
2019,3,Monroe,Cobbs Hill Manor,370-F-242,118,90,89,38,51,45,22,7,8
2019,3,Rensselaer,Danforth Adult Care Center,600-F-244,80,70,71,20,51,22,43,8,7
2019,3,Erie,Dosberg Manor,240-E-141,96,74,71,18,53,12,56,,7
2019,3,Erie,Eden Heights,240-F-900,120,81,83,26,57,7,67,14,12
2019,3,Cattaraugus,Eden Heights of Olean,040-F-028,120,94,90,20,70,30,58,,7
2019,3,Erie,Eden Heights of West Seneca,240-F-848,120,85,84,30,54,17,66,10,10
2019,3,Erie,Elderwood Assisted Living at Cheektowaga,240-F-886,80,68,71,12,59,7,64,13,9
2019,3,Erie,Elderwood Assisted Living at Hamburg,240-S-117,103,90,91,18,73,14,74,8,10
2019,3,Erie,Elderwood Assisted Living at Tonawanda,240-F-890,120,89,94,15,79,19,74,18,16
2019,3,Erie,Elderwood Assisted Living at West Seneca,240-S-119,128,97,105,17,88,12,93,20,13
2019,3,Erie,Elderwood Village at Bassett Park,240-F-898,105,49,51,16,35,8,43,14,12
2019,3,Albany,Elderwood Village at Colonie,000-F-314,94,46,43,12,31,25,18,56,8
2019,3,Monroe,Elderwood Village at Fairport,370-F-246,78,37,35,12,23,11,24,7,7
2019,3,Erie,Elderwood Village at Willamsville,240-S-115,110,80,82,17,65,7,74,18,17
2019,3,Queens,Elm York Home for Adults,590-F-319,262,254,245,127,118,113,23,9,18
2019,3,Monroe,Emeritus at the Landing of Brockport,370-S-849,114,85,75,32,43,11,64,,12
2019,3,Rockland,"Evergreen Court Home for Adults SP, LLC",620-F-078,200,125,134,76,58,52,7,15,7
2019,3,Oneida,Focus Senior Living at Utica,510-S-061,110,92,94,56,38,52,7,14,12
2019,3,Chautauqua,Frewsburg Rest Home,060-F-035,81,67,62,28,34,12,40,,8
2019,3,Kings,Garden of Eden Assisted Living Program,331-F-280,202,179,177,107,70,61,10,7,9
2019,3,Genesee,Genesee Adult Home,290-F-007,80,65,70,29,41,30,31,14,9
2019,3,Erie,Glenwell,240-E-146,120,109,87,30,57,29,54,9,12
2019,3,Monroe,Grande'Vie Senior Living,370-F-250,178,74,68,41,27,16,52,11,17
2019,3,Monroe,Grande'ville Senior Living Community,370-F-230,115,99,110,36,74,14,96,27,16
2019,3,Dutchess,Green Briar Adult Home,230-F-072,53,52,52,32,20,21,8,9,10
2019,3,Suffolk,Gurwin Jewish Fay J. Lindner Residence,700-S-289,200,155,143,41,102,10,133,12,24
2019,3,Otsego,Hampshire House Adult Home,570-F-048,65,50,52,16,36,12,40,,8
2019,3,Nassau,Harbor House,400-F-305,136,105,98,32,66,26,70,10,19
2019,3,Richmond,Harbor Terrace Adult Home and Assisted Living,610-F-064,363,251,240,148,92,98,18,,14
2019,3,Kings,Harbor View Home for Adults,331-F-282,162,81,83,33,50,29,50,11,9
2019,3,Rensselaer,"Hawthorne Ridge, Inc.",600-E-114,66,62,62,18,44,9,53,18,13
2019,3,Monroe,Heather Heights of Pittsford,370-F-220,120,87,93,30,63,17,75,29,23
2019,3,Monroe,Heathwood Assisted Living at Penfield,370-S-852,151,111,117,35,82,17,99,22,15
2019,3,Erie,Heathwood Assisted Living at Williamsville,240-F-881,122,104,112,27,85,12,99,21,14
2019,3,Dutchess,"Hedgewood ALP, LLC",230-F-082,192,187,186,120,66,85,18,11,12
